,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1,Ushuaia,-54.8,-68.3,51.8,58,40,10.36,AR,1618710711
2,Hearst,49.6835,-83.6665,32.0,74,100,2.3,CA,1618710712
3,Hilo,19.7297,-155.09,80.6,54,75,6.91,US,1618710540
4,Jamestown,42.097,-79.2353,41.0,75,90,4.61,US,1618710457
5,Port Alfred,-33.5906,26.891,65.57,47,5,9.73,ZA,1618710648
6,Rawson,-43.3002,-65.1023,60.13,69,95,18.95,AR,1618710543
7,Nemuro,43.3236,145.575,42.8,93,75,16.11,JP,1618710712
8,Nome,64.5011,-165.4064,34.0,75,1,9.22,US,1618710713
9,Anking,30.5092,117.0506,63.88,37,100,9.4,CN,1618710713
10,Lavrentiya,65.5833,-171.0,31.86,88,70,8.81,RU,1618710713
11,Rundu,-17.9333,19.7667,58.1,57,29,6.04,NA,1618710714
12,Coquimbo,-29.9533,-71.3436,59.0,82,90,2.3,CL,1618710714
13,Qaanaaq,77.484,-69.3632,-2.38,97,100,6.6,GL,1618710651
14,Lagoa,39.05,-27.9833,60.89,90,14,18.99,PT,1618710714
15,Thunder Bay,48.4001,-89.3168,41.0,42,20,4.03,CA,1618710691
16,Saint George,37.1041,-113.5841,64.4,19,1,14.97,US,1618710662
17,Wajima,37.4,136.9,44.6,87,75,18.41,JP,1618710715
18,Témiscaming,46.7212,-79.0971,42.8,75,92,3.44,CA,1618710715
19,Saldanha,-33.0117,17.9442,64.4,36,0,9.6,ZA,1618710716
20,Carnarvon,-24.8667,113.6333,80.08,45,34,2.64,AU,1618710716
21,Ribeira Grande,38.5167,-28.7,62.01,89,23,13.4,PT,1618710717
22,Hong Kong,22.2855,114.1577,77.0,52,66,1.99,HK,1618710419
23,Rikitea,-23.1203,-134.9692,77.41,68,56,4.81,PF,1618710566
24,Barrow,71.2906,-156.7887,32.0,80,1,14.97,US,1618710717
25,Ponta do Sol,32.6667,-17.1,57.0,71,73,3.0,PT,1618710717
26,Albany,42.6001,-73.9662,44.01,76,89,2.53,US,1618710607
27,Cabo San Lucas,22.8909,-109.9124,78.8,41,1,4.61,MX,1618710481
28,Guerrero Negro,27.9769,-114.0611,59.59,78,0,20.07,MX,1618710695
29,Saskylakh,71.9167,114.0833,9.46,90,100,13.09,RU,1618710719
30,Pevek,69.7008,170.3133,26.94,84,6,17.31,RU,1618710719
31,Saint-Philippe,-21.3585,55.7679,73.4,88,75,12.66,RE,1618710594
32,Wagga Wagga,-35.1167,147.3667,64.99,55,2,4.61,AU,1618710559
33,San Miguel de Tucumán,-26.8241,-65.2226,71.6,88,75,3.44,AR,1618710720
34,Esperance,-33.8667,121.9,64.4,63,0,13.8,AU,1618710720
35,Haines Junction,60.7522,-137.5108,55.4,24,10,6.91,CA,1618710721
36,Mocuba,-16.8392,36.9856,62.06,95,55,3.33,MZ,1618710721
37,Hermanus,-34.4187,19.2345,73.99,21,0,5.99,ZA,1618710639
