,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jamestown,42.097,-79.2353,45.0,70,90,8.05,US,1618702302
1,Thompson,55.7435,-97.8558,30.2,69,90,14.97,CA,1618702325
2,Mataura,-46.1927,168.8643,55.99,81,98,11.01,NZ,1618702325
3,Saint-Louis,16.3333,-15.0,87.8,25,0,2.3,SN,1618702325
4,Atuona,-9.8,-139.0333,80.64,74,50,19.3,PF,1618702326
5,Hobart,-42.8794,147.3294,61.0,58,75,11.5,AU,1618702199
6,Punta Arenas,-53.15,-70.9167,50.0,71,75,5.75,CL,1618701664
7,Hermanus,-34.4187,19.2345,66.99,46,0,1.01,ZA,1618702110
8,Puerto Ayora,-0.7393,-90.3518,77.0,94,90,4.61,EC,1618702326
9,Ushuaia,-54.8,-68.3,53.6,54,40,10.36,AR,1618702327
10,Dunedin,-45.8742,170.5036,56.26,56,99,4.72,NZ,1618702327
11,Missoula,47.0166,-113.8009,68.0,21,1,3.44,US,1618702327
12,Porto de Moz,-1.7483,-52.2383,73.65,97,37,2.95,BR,1618702328
13,San Patricio,28.017,-97.5169,63.0,67,90,17.27,US,1618702140
14,Bluff,-46.6,168.3333,55.99,81,91,11.01,NZ,1618702328
15,Visnes,59.3556,5.2242,35.6,87,9,2.3,NO,1618702328
16,Carnarvon,-24.8667,113.6333,77.14,55,4,3.67,AU,1618702329
17,Misratah,32.3754,15.0925,61.32,79,100,10.65,LY,1618702329
18,Muros,42.7762,-9.0603,51.01,63,50,3.0,ES,1618702329
19,Kapaa,22.0752,-159.319,73.99,64,75,14.97,US,1618702122
20,San Miguel,13.4833,-88.1833,87.8,70,20,6.91,SV,1618702295
21,Kutum,14.2,24.6667,70.81,11,21,9.44,SD,1618702330
22,Rikitea,-23.1203,-134.9692,77.58,66,63,5.03,PF,1618702330
23,Ortona,42.3496,14.4039,50.0,66,75,4.61,IT,1618702330
24,Namatanai,-3.6667,152.4333,83.97,72,93,14.54,PG,1618702331
25,Grindavik,63.8424,-22.4338,37.4,75,75,19.57,IS,1618702331
26,Mar del Plata,-38.0023,-57.5575,66.99,94,90,5.75,AR,1618702205
27,Albany,42.6001,-73.9662,48.0,68,99,3.85,US,1618702332
28,Gizo Government Station,-8.103,156.8419,84.02,73,100,4.76,SB,1618702332
29,Fairbanks,64.8378,-147.7164,51.8,30,1,8.05,US,1618702124
30,Chapais,49.7834,-74.8492,50.0,37,1,5.75,CA,1618702332
31,Henties Bay,-22.116,14.2845,76.42,44,81,11.81,NA,1618702333
32,Norman Wells,65.282,-126.8329,50.0,40,20,9.22,CA,1618702148
33,Southbridge,42.0751,-72.0334,44.01,78,100,2.48,US,1618702333
34,Tuktoyaktuk,69.4541,-133.0374,24.8,86,75,10.36,CA,1618702333
35,Belyy Yar,53.6039,91.3903,24.8,80,40,3.47,RU,1618702334
36,Tasiilaq,65.6145,-37.6368,23.0,93,90,2.01,GL,1618701790
37,Ōzu,33.5,132.55,55.0,58,20,18.41,JP,1618702334
38,Bloemhof,-27.6469,25.607,56.03,69,35,5.88,ZA,1618702334
39,Vila Velha,-20.3297,-40.2925,73.4,94,75,3.44,BR,1618702206
40,Battaramulla,6.9022,79.9196,78.8,89,20,6.91,LK,1618702335
41,Talnakh,69.4865,88.3972,-20.58,93,65,1.61,RU,1618702335
42,São Filipe,14.8961,-24.4956,72.7,70,0,9.24,CV,1618702336
43,Buraidah,26.326,43.975,69.8,46,0,5.75,SA,1618702336
44,Port Alfred,-33.5906,26.891,65.28,60,34,12.5,ZA,1618702336
45,Caravelas,-17.7125,-39.2481,74.07,73,85,6.11,BR,1618702336
46,Rome,43.2128,-75.4557,48.99,57,90,5.75,US,1618702082
47,Ambilobe,-13.2,49.05,72.63,96,56,3.69,MG,1618702337
48,Hong Kong,22.2855,114.1577,75.0,62,95,1.99,HK,1618702098
49,Cockburn Town,21.4612,-71.1419,78.8,78,40,5.75,TC,1618702337
50,Cam Ranh,11.9214,109.1591,77.0,83,20,5.75,VN,1618702338
51,Faanui,-16.4833,-151.75,82.2,72,76,9.6,PF,1618702124
52,Avarua,-21.2078,-159.775,82.4,69,75,8.05,CK,1618702338
53,Bonthe,7.5264,-12.505,78.67,81,100,2.06,SL,1618702338
54,São João da Barra,-21.6403,-41.0511,75.24,82,95,13.29,BR,1618702339
55,Vardø,70.3705,31.1107,34.79,89,81,10.16,NO,1618702339
56,Busselton,-33.65,115.3333,62.28,69,0,7.07,AU,1618702339
57,Bredasdorp,-34.5322,20.0403,42.8,93,0,5.75,ZA,1618702340
58,Chui,-33.6971,-53.4616,64.04,90,4,6.53,UY,1618702340
59,Qaanaaq,77.484,-69.3632,-0.65,96,100,5.86,GL,1618702340
60,Butaritari,3.0707,172.7902,82.42,76,98,6.73,KI,1618702341
61,Katsuura,35.1333,140.3,64.0,45,20,27.63,JP,1618702341
62,Troitskoye,52.9821,84.6757,30.74,88,86,5.55,RU,1618702341
63,Vaini,-21.2,-175.2,78.8,69,20,11.5,TO,1618702123
64,Roebourne,-20.7833,117.1333,83.3,40,0,11.18,AU,1618702342
65,Sørland,67.667,12.6934,41.61,72,57,10.76,NO,1618702342
66,Bethel,41.3712,-73.414,48.99,64,95,3.69,US,1618701789
67,Quartucciu,39.2519,9.1794,46.99,93,0,4.61,IT,1618702342
68,Russell,32.3502,-85.1999,71.6,56,90,3.44,US,1618702343
69,East London,-33.0153,27.9116,64.38,68,99,11.48,ZA,1618702152
70,Aksu,41.1231,80.2644,56.32,29,44,4.43,CN,1618702343
71,Portland,45.5234,-122.6762,84.0,14,1,6.91,US,1618702049
72,Bundaberg,-24.85,152.35,77.0,64,14,10.36,AU,1618702344
73,New Norfolk,-42.7826,147.0587,61.0,78,100,3.0,AU,1618702344
74,Port Elizabeth,-33.918,25.5701,53.6,94,0,6.29,ZA,1618702345
75,Barinas,8.6226,-70.2075,83.1,57,88,4.07,VE,1618702345
76,Ponta do Sol,32.6667,-17.1,57.0,69,95,3.0,PT,1618702345
77,Lohja,60.2486,24.0653,41.0,65,10,5.26,FI,1618702346
78,Chokurdakh,70.6333,147.9167,17.11,86,100,5.21,RU,1618702346
79,Saskylakh,71.9167,114.0833,7.21,93,100,12.33,RU,1618702346
80,Kavaratti,10.5669,72.642,83.66,69,6,5.61,IN,1618702346
81,Yulara,-25.2406,130.9889,60.8,44,0,13.8,AU,1618702347
82,Verkhoyansk,67.5447,133.385,15.04,88,100,3.0,RU,1618702347
83,Nabire,-3.3667,135.4833,76.78,91,100,2.13,ID,1618702347
84,Hithadhoo,-0.6,73.0833,81.7,62,29,4.41,MV,1618702232
85,Kalmunai,7.4167,81.8167,77.92,85,75,6.2,LK,1618702164
86,Puerto Ayacucho,5.6639,-67.6236,79.39,81,96,4.88,VE,1618702348
87,Hilo,19.7297,-155.09,82.4,54,1,9.22,US,1618701778
88,Skjervøy,70.0311,20.9714,37.65,68,3,10.33,NO,1618702348
89,Saint Paul Harbor,57.79,-152.4072,42.8,75,90,3.44,US,1618702145
90,Nanortalik,60.1432,-45.2371,25.3,55,1,27.6,GL,1618702157
91,Payson,40.0444,-111.7321,55.99,30,40,16.11,US,1618702349
92,Hasaki,35.7333,140.8333,64.4,59,20,12.66,JP,1618702349
93,Yellowknife,62.456,-114.3525,35.6,64,75,10.36,CA,1618702190
94,Soe,-9.8607,124.284,73.0,70,87,2.15,ID,1618702350
95,Charters Towers,-20.1,146.2667,77.92,57,4,16.17,AU,1618702350
96,Griffith,41.5284,-87.4237,48.99,53,1,9.22,US,1618702350
97,Ancud,-41.8697,-73.8203,46.99,80,100,14.0,CL,1618702351
98,Mombetsu,44.3525,143.3525,41.31,93,100,15.66,JP,1618702351
99,Ribeira Grande,38.5167,-28.7,62.11,91,39,13.18,PT,1618702352
100,San Cristobal,7.7669,-72.225,84.2,51,40,9.22,VE,1618702352
101,Río Gallegos,-51.6226,-69.2181,51.8,58,0,2.3,AR,1618702352
102,Cherskiy,68.75,161.3,25.21,70,2,27.16,RU,1618702096
103,Chico,39.7285,-121.8375,86.0,9,1,6.46,US,1618701848
104,Zhangye,38.9342,100.4517,53.02,19,57,2.42,CN,1618702353
105,Maţāy,28.419,30.7792,77.43,17,0,6.35,EG,1618702353
106,Touros,-5.1989,-35.4608,77.0,88,75,3.44,BR,1618702353
107,Ishigaki,24.3448,124.1572,69.8,64,20,26.46,JP,1618702132
108,Isabela,6.7085,121.9711,78.8,89,75,5.75,PH,1618702354
109,Ullal,12.8,74.85,82.4,83,20,3.04,IN,1618702280
110,San Policarpo,12.1791,125.5072,77.27,92,100,29.33,PH,1618702354
111,Cape Town,-33.9258,18.4232,69.01,88,0,4.61,ZA,1618702355
112,Arrondissement de Pau,43.4167,-0.5833,44.6,76,75,4.61,FR,1618702355
113,Clyde River,70.4692,-68.5914,6.8,85,90,14.97,CA,1618702355
114,Arraial do Cabo,-22.9661,-42.0278,77.0,83,40,18.41,BR,1618702356
115,Ranong,9.9658,98.6348,77.0,94,40,4.43,TH,1618702356
116,Marawi,7.9986,124.2928,77.0,92,100,5.01,PH,1618702356
117,Sur,22.5667,59.5289,81.43,57,61,3.51,OM,1618702357
118,Halifax,44.6453,-63.5724,39.99,100,100,12.66,CA,1618702080
119,Necochea,-38.5473,-58.7368,66.0,87,63,1.01,AR,1618702062
120,Nikolskoye,59.7035,30.7861,46.4,39,0,8.95,RU,1618702357
121,George Town,5.4112,100.3354,80.01,89,20,5.75,MY,1618702240
122,Yenagoa,4.9247,6.2642,77.95,90,66,4.43,NG,1618702358
123,Savelugu,9.6244,-0.8253,84.36,51,85,5.7,GH,1618702358
124,Ossora,59.2353,163.0719,31.24,74,3,5.17,RU,1618702358
125,Mount Gambier,-37.8333,140.7667,57.2,94,90,8.05,AU,1618702198
