,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Byron Bay,-28.65,153.6167,16.0,82,90,4.63,AU,1618685071
1,Tasiilaq,65.6145,-37.6368,-3.0,77,90,1.31,GL,1618685072
2,Mataura,-46.1927,168.8643,10.56,92,100,2.68,NZ,1618685073
3,Tiksi,71.6872,128.8694,-15.22,96,100,4.92,RU,1618685073
4,Atuona,-9.8,-139.0333,26.97,74,34,7.98,PF,1618685073
5,Anadyr,64.75,177.4833,0.0,100,75,11.0,RU,1618685074
6,Ushuaia,-54.8,-68.3,16.0,44,20,7.72,AR,1618685074
7,Busselton,-33.65,115.3333,15.0,80,0,0.89,AU,1618685074
8,Chiang Kham,19.5233,100.3,21.11,100,75,3.09,TH,1618685074
9,Bluff,-46.6,168.3333,10.56,92,100,2.68,NZ,1618685075
10,Lebu,-37.6167,-73.65,16.03,72,20,3.45,CL,1618685075
11,Sapouy,11.5544,-1.7736,25.54,68,100,2.75,BF,1618685075
12,Saint-Philippe,-21.3585,55.7679,24.0,94,75,3.09,RE,1618685076
13,Dewā,27.0333,81.1667,25.0,65,40,3.68,IN,1618685076
14,Victor Harbor,-35.5667,138.6167,12.78,87,34,2.27,AU,1618685076
15,Laguna,38.421,-121.4238,26.11,13,1,6.69,US,1618685077
16,Antofagasta,-23.65,-70.4,21.67,68,20,6.69,CL,1618685077
17,Hermanus,-34.4187,19.2345,19.44,65,0,2.26,ZA,1618684987
18,Rudnogorsk,57.2639,103.7519,-9.33,83,15,2.48,RU,1618685077
19,Fernie,49.5,-115.0687,15.0,26,13,1.54,CA,1618684800
20,Norman Wells,65.282,-126.8329,4.0,56,75,2.11,CA,1618685078
21,Bell Ville,-32.6259,-62.6887,28.89,55,99,1.34,AR,1618685078
22,Faanui,-16.4833,-151.75,28.0,72,99,4.4,PF,1618685078
23,Pozo Colorado,-23.4923,-58.7972,34.7,30,63,2.32,PY,1618685079
24,Sorong,-0.8833,131.25,25.82,85,88,2.81,ID,1618685079
25,Hobyo,5.3505,48.5268,28.68,67,9,7.3,SO,1618685079
26,Port Elizabeth,-33.918,25.5701,19.0,77,0,4.12,ZA,1618685080
27,Penzance,50.1186,-5.5371,9.0,57,100,4.12,GB,1618685080
28,Ostrovnoy,68.0531,39.5131,-0.84,83,90,1.69,RU,1618685080
29,Poum,-20.2333,164.0167,25.19,78,14,6.41,NC,1618685080
30,Vallenar,-28.5708,-70.7581,27.45,33,0,3.22,CL,1618685081
31,Avarua,-21.2078,-159.775,25.0,88,17,1.03,CK,1618685065
32,Rikitea,-23.1203,-134.9692,25.05,68,100,3.96,PF,1618685081
33,Vaini,-21.2,-175.2,19.0,88,40,2.06,TO,1618685081
34,Okhotsk,59.3833,143.3,-4.75,95,100,3.84,RU,1618685082
35,Sola,-13.8833,167.55,28.11,73,41,6.84,VU,1618685082
36,Mahébourg,-20.4081,57.7,25.0,88,75,3.09,MU,1618685082
37,Dikson,73.5069,80.5464,-26.77,100,30,1.52,RU,1618685083
38,Yellowknife,62.456,-114.3525,2.22,64,75,4.47,CA,1618684910
39,Kletnya,53.3897,33.2171,6.0,100,100,1.0,RU,1618685083
40,Mandera,3.9366,41.867,27.29,69,100,1.81,KE,1618685084
41,Arrifes,37.7667,-25.7,18.0,94,75,4.63,PT,1618685084
42,Butaritari,3.0707,172.7902,27.92,75,100,3.45,KI,1618685084
43,Inhambane,-23.865,35.3833,21.0,73,75,3.09,MZ,1618685085
44,Cayenne,4.9333,-52.3333,28.89,74,75,7.2,GF,1618685085
45,Severo-Kuril'sk,50.6789,156.125,2.13,72,100,2.84,RU,1618685085
46,Jamestown,42.097,-79.2353,8.33,75,90,3.09,US,1618684856
47,Kapaa,22.0752,-159.319,21.11,88,90,3.6,US,1618685086
48,Zhigansk,66.7697,123.3711,-10.41,95,100,3.94,RU,1618685086
49,Aklavik,68.2191,-135.0107,2.0,55,20,1.54,CA,1618685086
50,Roald,62.5833,6.1333,7.78,61,0,4.63,NO,1618685086
51,Kaitangata,-46.2817,169.8464,8.89,73,100,0.89,NZ,1618685087
52,Pimentel,-6.8367,-79.9342,24.0,60,0,8.75,PE,1618685087
53,Oistins,13.0667,-59.5333,30.0,54,75,9.26,BB,1618685087
54,Iqaluit,63.7506,-68.5145,-7.0,58,75,2.57,CA,1618684863
55,Hede,33.7681,120.2517,7.01,47,0,0.85,CN,1618685088
56,Ahipara,-35.1667,173.1667,15.51,58,96,3.1,NZ,1618685088
57,Cape Town,-33.9258,18.4232,19.44,72,0,2.06,ZA,1618685004
58,Teguise,29.0605,-13.564,22.0,60,20,9.26,ES,1618685088
59,Mar del Plata,-38.0023,-57.5575,20.0,88,0,4.63,AR,1618684944
60,Marsh Harbour,26.5412,-77.0636,26.47,69,9,6.7,BS,1618685089
61,Buala,-8.145,159.5921,26.41,79,75,1.43,SB,1618685089
62,Kavieng,-2.5744,150.7967,27.34,80,98,4.47,PG,1618685090
63,Aswān,24.0934,32.907,30.17,13,0,4.21,EG,1618685090
64,Sambava,-14.2667,50.1667,25.58,83,100,0.56,MG,1618685090
65,Puerto Ayora,-0.7393,-90.3518,26.11,94,90,2.57,EC,1618685091
66,New Norfolk,-42.7826,147.0587,12.78,79,99,1.79,AU,1618685091
67,Kavos,38.8268,22.8322,12.22,86,100,0.98,GR,1618685091
68,Hilo,19.7297,-155.09,23.89,64,20,1.54,US,1618684813
69,São Filipe,14.8961,-24.4956,22.28,73,0,6.38,CV,1618685092
70,Petauke,-14.2426,31.3253,16.75,80,99,6.16,ZM,1618685092
71,Punta Arenas,-53.15,-70.9167,13.0,47,75,5.66,CL,1618685092
72,Longyearbyen,78.2186,15.6401,-5.0,86,90,12.35,SJ,1618685093
73,Clyde,41.3042,-82.9752,11.67,64,100,3.59,US,1618685093
74,Riyadh,24.6877,46.7219,25.0,22,40,2.06,SA,1618684411
75,Iwanai,42.9744,140.5089,7.81,97,100,2.32,JP,1618685093
76,Albany,42.6001,-73.9662,10.0,55,100,0.89,US,1618684914
77,Kargasok,59.0556,80.8572,-0.52,81,99,8.11,RU,1618685094
